,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
0,1-NN,0,CHEMBL280,6,1.0,jaccard,,,,,,,
1,kNN,0,CHEMBL280,6,3.0,jaccard,,,,,,,
2,SVR,0,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
3,RFR,0,CHEMBL280,6,,,,,50.0,log2,2.0,1.0,
4,MR,0,CHEMBL280,6,,,,,,,,,median
5,1-NN,0,CHEMBL280,12,1.0,jaccard,,,,,,,
6,kNN,0,CHEMBL280,12,3.0,jaccard,,,,,,,
7,SVR,0,CHEMBL280,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
8,RFR,0,CHEMBL280,12,,,,,50.0,log2,3.0,1.0,
9,MR,0,CHEMBL280,12,,,,,,,,,median
10,1-NN,0,CHEMBL280,18,1.0,jaccard,,,,,,,
11,kNN,0,CHEMBL280,18,3.0,jaccard,,,,,,,
12,SVR,0,CHEMBL280,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
13,RFR,0,CHEMBL280,18,,,,,200.0,log2,2.0,1.0,
14,MR,0,CHEMBL280,18,,,,,,,,,median
15,1-NN,0,CHEMBL280,30,1.0,jaccard,,,,,,,
16,kNN,0,CHEMBL280,30,3.0,jaccard,,,,,,,
17,SVR,0,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
18,RFR,0,CHEMBL280,30,,,,,200.0,log2,2.0,1.0,
19,MR,0,CHEMBL280,30,,,,,,,,,median
20,1-NN,0,CHEMBL280,48,1.0,jaccard,,,,,,,
21,kNN,0,CHEMBL280,48,3.0,jaccard,,,,,,,
22,SVR,0,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
23,RFR,0,CHEMBL280,48,,,,,200.0,sqrt,2.0,1.0,
24,MR,0,CHEMBL280,48,,,,,,,,,median
25,1-NN,0,CHEMBL280,78,1.0,jaccard,,,,,,,
26,kNN,0,CHEMBL280,78,3.0,jaccard,,,,,,,
27,SVR,0,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
28,RFR,0,CHEMBL280,78,,,,,200.0,log2,2.0,1.0,
29,MR,0,CHEMBL280,78,,,,,,,,,median
30,1-NN,0,CHEMBL280,126,1.0,jaccard,,,,,,,
31,kNN,0,CHEMBL280,126,3.0,jaccard,,,,,,,
32,SVR,0,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
33,RFR,0,CHEMBL280,126,,,,,100.0,log2,2.0,1.0,
34,MR,0,CHEMBL280,126,,,,,,,,,median
35,1-NN,0,CHEMBL280,204,1.0,jaccard,,,,,,,
36,kNN,0,CHEMBL280,204,3.0,jaccard,,,,,,,
37,SVR,0,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
38,RFR,0,CHEMBL280,204,,,,,100.0,sqrt,2.0,1.0,
39,MR,0,CHEMBL280,204,,,,,,,,,median
40,1-NN,0,CHEMBL280,330,1.0,jaccard,,,,,,,
41,kNN,0,CHEMBL280,330,3.0,jaccard,,,,,,,
42,SVR,0,CHEMBL280,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
43,RFR,0,CHEMBL280,330,,,,,100.0,sqrt,2.0,1.0,
44,MR,0,CHEMBL280,330,,,,,,,,,median
45,1-NN,1,CHEMBL280,6,1.0,jaccard,,,,,,,
46,kNN,1,CHEMBL280,6,3.0,jaccard,,,,,,,
47,SVR,1,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
48,RFR,1,CHEMBL280,6,,,,,50.0,sqrt,2.0,1.0,
49,MR,1,CHEMBL280,6,,,,,,,,,median
50,1-NN,1,CHEMBL280,12,1.0,jaccard,,,,,,,
